Date,Depth,Set Number
03-05-2025-16-40,6,1


Timestamp,Soil Moisture Value,Soil Moisture (%),Soil Temperature (°C)
03-05-2025-16-43,326,89,14.0
03-05-2025-16-43,318,90,13.94
03-05-2025-16-43,318,90,13.94
03-05-2025-16-43,324,89,13.94
03-05-2025-16-43,324,89,13.94
03-05-2025-16-43,323,89,13.94
03-05-2025-16-43,323,89,13.94
03-05-2025-16-43,319,90,13.94
03-05-2025-16-43,319,90,13.94
03-05-2025-16-43,318,90,14.0
03-05-2025-16-43,318,90,14.0
03-05-2025-16-43,318,90,13.94
03-05-2025-16-43,318,90,13.94
03-05-2025-16-43,325,89,13.94
03-05-2025-16-43,325,89,13.94
03-05-2025-16-43,315,90,13.94
03-05-2025-16-43,315,90,13.94
03-05-2025-16-43,324,89,13.94
03-05-2025-16-43,324,89,13.94
03-05-2025-16-43,317,90,14.0
03-05-2025-16-43,317,90,14.0
03-05-2025-16-43,322,89,13.94
03-05-2025-16-43,322,89,13.94
03-05-2025-16-43,320,90,13.94
03-05-2025-16-43,320,90,13.94
03-05-2025-16-43,319,90,13.94
03-05-2025-16-44,319,90,13.94
03-05-2025-16-44,319,90,13.94
03-05-2025-16-44,319,90,13.94
03-05-2025-16-44,319,90,13.94
03-05-2025-16-44,319,90,13.94
03-05-2025-16-44,323,89,13.94
03-05-2025-16-44,323,89,13.94
03-05-2025-16-44,315,90,13.94
03-05-2025-16-44,315,90,13.94
03-05-2025-16-44,323,89,13.94
03-05-2025-16-44,323,89,13.94
03-05-2025-16-44,319,90,14.0
03-05-2025-16-44,319,90,14.0
03-05-2025-16-44,320,90,13.94
03-05-2025-16-44,320,90,13.94
03-05-2025-16-44,318,90,13.94
03-05-2025-16-44,318,90,13.94
03-05-2025-16-44,319,90,13.94
03-05-2025-16-44,319,90,13.94
03-05-2025-16-44,319,90,13.94
03-05-2025-16-44,319,90,13.94
03-05-2025-16-44,320,90,14.0
03-05-2025-16-44,320,90,14.0
03-05-2025-16-44,320,90,13.94
03-05-2025-16-44,320,90,13.94
03-05-2025-16-44,315,90,13.94
03-05-2025-16-44,315,90,13.94
03-05-2025-16-44,324,89,13.94
03-05-2025-16-44,324,89,13.94
03-05-2025-16-44,316,90,13.94
03-05-2025-16-44,316,90,13.94
03-05-2025-16-44,322,89,13.94
03-05-2025-16-44,322,89,13.94
03-05-2025-16-44,318,90,13.94
03-05-2025-16-44,318,90,13.94
03-05-2025-16-44,319,90,13.94
03-05-2025-16-44,319,90,13.94
03-05-2025-16-44,319,90,13.94
03-05-2025-16-44,319,90,13.94
03-05-2025-16-44,319,90,13.94
03-05-2025-16-44,324,89,13.94
03-05-2025-16-44,324,89,13.94
03-05-2025-16-44,317,90,13.94
03-05-2025-16-44,317,90,13.94
03-05-2025-16-44,323,89,13.88
03-05-2025-16-44,323,89,13.88
03-05-2025-16-44,317,90,13.88
03-05-2025-16-44,317,90,13.88
03-05-2025-16-44,323,89,13.88
03-05-2025-16-44,323,89,13.88
03-05-2025-16-44,315,90,13.88
03-05-2025-16-44,315,90,13.88
03-05-2025-16-44,321,89,13.88
03-05-2025-16-44,321,89,13.88
03-05-2025-16-44,319,90,13.88
03-05-2025-16-44,319,90,13.88
03-05-2025-16-44,318,90,13.88
03-05-2025-16-44,318,90,13.88
03-05-2025-16-44,321,89,13.88
03-05-2025-16-44,321,89,13.88
03-05-2025-16-45,322,89,13.88
03-05-2025-16-45,322,89,13.88
03-05-2025-16-45,321,89,13.88
03-05-2025-16-45,321,89,13.88
03-05-2025-16-45,322,89,13.88
03-05-2025-16-45,322,89,13.88
03-05-2025-16-45,318,90,13.88
03-05-2025-16-45,318,90,13.88
03-05-2025-16-45,320,90,13.88
03-05-2025-16-45,320,90,13.88
03-05-2025-16-45,320,90,13.88
03-05-2025-16-45,320,90,13.88
03-05-2025-16-45,318,90,13.88
03-05-2025-16-45,318,90,13.88
03-05-2025-16-45,319,90,13.88
03-05-2025-16-45,319,90,13.88
03-05-2025-16-45,320,90,13.88
03-05-2025-16-45,320,90,13.88
03-05-2025-16-45,321,89,13.88
03-05-2025-16-45,321,89,13.88
03-05-2025-16-45,320,90,13.88
03-05-2025-16-45,320,90,13.88
03-05-2025-16-45,321,89,13.88
03-05-2025-16-45,321,89,13.88
03-05-2025-16-45,318,90,13.88
03-05-2025-16-45,318,90,13.88
03-05-2025-16-45,324,89,13.88
03-05-2025-16-45,324,89,13.88
03-05-2025-16-45,315,90,13.88
03-05-2025-16-45,315,90,13.88
03-05-2025-16-45,325,89,13.88
03-05-2025-16-45,325,89,13.88
03-05-2025-16-45,315,90,13.88
03-05-2025-16-45,315,90,13.88
03-05-2025-16-45,328,88,13.88
03-05-2025-16-45,328,88,13.88
03-05-2025-16-45,315,90,13.88
03-05-2025-16-45,315,90,13.88
03-05-2025-16-45,324,89,13.88
03-05-2025-16-45,324,89,13.88
03-05-2025-16-45,318,90,13.88
03-05-2025-16-45,318,90,13.88
03-05-2025-16-45,325,89,13.88
03-05-2025-16-45,325,89,13.88
03-05-2025-16-45,318,90,13.88
03-05-2025-16-45,318,90,13.88
03-05-2025-16-45,328,88,13.88
03-05-2025-16-45,328,88,13.88
03-05-2025-16-45,315,90,13.88
03-05-2025-16-45,315,90,13.88
03-05-2025-16-45,322,89,13.88
03-05-2025-16-45,322,89,13.88
03-05-2025-16-45,316,90,13.88
03-05-2025-16-45,316,90,13.88
03-05-2025-16-45,325,89,13.88
03-05-2025-16-45,325,89,13.88
03-05-2025-16-45,315,90,13.88
03-05-2025-16-45,315,90,13.88
03-05-2025-16-45,324,89,13.88
03-05-2025-16-45,324,89,13.88
03-05-2025-16-46,315,90,13.81
03-05-2025-16-46,315,90,13.81
03-05-2025-16-46,326,89,13.88
03-05-2025-16-46,326,89,13.88
03-05-2025-16-46,315,90,13.88
03-05-2025-16-46,315,90,13.88
03-05-2025-16-46,324,89,13.81
03-05-2025-16-46,324,89,13.81
03-05-2025-16-46,316,90,13.88
03-05-2025-16-46,316,90,13.88
03-05-2025-16-46,324,89,13.88
03-05-2025-16-46,324,89,13.88
03-05-2025-16-46,314,90,13.81
03-05-2025-16-46,314,90,13.81
03-05-2025-16-46,324,89,13.88
03-05-2025-16-46,324,89,13.88
03-05-2025-16-46,316,90,13.88
03-05-2025-16-46,316,90,13.88
03-05-2025-16-46,324,89,13.81
03-05-2025-16-46,324,89,13.81
03-05-2025-16-46,316,90,13.81
03-05-2025-16-46,316,90,13.81
03-05-2025-16-46,323,89,13.88
03-05-2025-16-46,323,89,13.88
03-05-2025-16-46,323,89,13.88
03-05-2025-16-46,323,89,13.88
03-05-2025-16-46,323,89,13.88
03-05-2025-16-46,317,90,13.81
03-05-2025-16-46,317,90,13.81
03-05-2025-16-46,321,89,13.81
03-05-2025-16-46,321,89,13.81
03-05-2025-16-46,321,89,13.81
03-05-2025-16-46,321,89,13.81
03-05-2025-16-46,320,90,13.81
03-05-2025-16-46,320,90,13.81
03-05-2025-16-46,320,90,13.81
03-05-2025-16-46,320,90,13.81
03-05-2025-16-46,321,89,13.81
03-05-2025-16-46,321,89,13.81
03-05-2025-16-46,320,90,13.81
03-05-2025-16-46,320,90,13.81
03-05-2025-16-46,321,89,13.81
03-05-2025-16-46,321,89,13.81
03-05-2025-16-46,319,90,13.75
03-05-2025-16-46,319,90,13.75
03-05-2025-16-46,320,90,13.81
03-05-2025-16-46,320,90,13.81
03-05-2025-16-46,319,90,13.81
03-05-2025-16-46,319,90,13.81
03-05-2025-16-46,320,90,13.81
03-05-2025-16-46,320,90,13.81
03-05-2025-16-46,321,89,13.81
03-05-2025-16-46,321,89,13.81
03-05-2025-16-46,320,90,13.81
03-05-2025-16-46,320,90,13.81
03-05-2025-16-46,320,90,13.81
03-05-2025-16-46,320,90,13.81
03-05-2025-16-46,321,89,13.75
03-05-2025-16-46,321,89,13.75
03-05-2025-16-47,319,90,13.75
03-05-2025-16-47,319,90,13.75
03-05-2025-16-47,319,90,13.81
03-05-2025-16-47,319,90,13.81
03-05-2025-16-47,325,89,13.75
03-05-2025-16-47,325,89,13.75
03-05-2025-16-47,317,90,13.75
03-05-2025-16-47,317,90,13.75
03-05-2025-16-47,324,89,13.75
03-05-2025-16-47,324,89,13.75
03-05-2025-16-47,315,90,13.81
03-05-2025-16-47,315,90,13.81
03-05-2025-16-47,322,89,13.81
03-05-2025-16-47,322,89,13.81
03-05-2025-16-47,318,90,13.75
03-05-2025-16-47,318,90,13.75
03-05-2025-16-47,323,89,13.75
03-05-2025-16-47,323,89,13.75
03-05-2025-16-47,319,90,13.75
03-05-2025-16-47,319,90,13.75
03-05-2025-16-47,321,89,13.75
03-05-2025-16-47,321,89,13.75
03-05-2025-16-47,323,89,13.75
03-05-2025-16-47,323,89,13.75
03-05-2025-16-47,320,90,13.75
03-05-2025-16-47,320,90,13.75
03-05-2025-16-47,320,90,13.75
03-05-2025-16-47,320,90,13.75
03-05-2025-16-47,319,90,13.75
03-05-2025-16-47,319,90,13.75
03-05-2025-16-47,319,90,13.75
03-05-2025-16-47,319,90,13.75
03-05-2025-16-47,318,90,13.75
03-05-2025-16-47,318,90,13.75
03-05-2025-16-47,319,90,13.81
03-05-2025-16-47,319,90,13.81
03-05-2025-16-47,320,90,13.75
03-05-2025-16-47,320,90,13.75
03-05-2025-16-47,323,89,13.75
03-05-2025-16-47,323,89,13.75
03-05-2025-16-47,314,90,13.75
03-05-2025-16-47,314,90,13.75
03-05-2025-16-47,324,89,13.75
03-05-2025-16-47,324,89,13.75
03-05-2025-16-47,316,90,13.75
03-05-2025-16-47,316,90,13.75
03-05-2025-16-47,321,89,13.75
03-05-2025-16-47,321,89,13.75
03-05-2025-16-47,320,90,13.75
03-05-2025-16-47,320,90,13.75
03-05-2025-16-47,323,89,13.75
03-05-2025-16-47,323,89,13.75
03-05-2025-16-47,322,89,13.75
03-05-2025-16-47,322,89,13.75
03-05-2025-16-47,323,89,13.75
03-05-2025-16-47,323,89,13.75
03-05-2025-16-47,321,89,13.75
03-05-2025-16-47,321,89,13.75
03-05-2025-16-47,319,90,13.75
03-05-2025-16-47,319,90,13.75
03-05-2025-16-48,319,90,13.75
03-05-2025-16-48,319,90,13.75
03-05-2025-16-48,317,90,13.75
03-05-2025-16-48,317,90,13.75
03-05-2025-16-48,324,89,13.75
03-05-2025-16-48,324,89,13.75
03-05-2025-16-48,316,90,13.75
03-05-2025-16-48,316,90,13.75
03-05-2025-16-48,322,89,13.75
03-05-2025-16-48,322,89,13.75
03-05-2025-16-48,319,90,13.75
03-05-2025-16-48,319,90,13.75
03-05-2025-16-48,319,90,13.75
03-05-2025-16-48,319,90,13.75
03-05-2025-16-48,319,90,13.75
03-05-2025-16-48,319,90,13.75
03-05-2025-16-48,319,90,13.75
03-05-2025-16-48,322,89,13.69
03-05-2025-16-48,322,89,13.69
03-05-2025-16-48,320,90,13.69
03-05-2025-16-48,320,90,13.69
03-05-2025-16-48,318,90,13.69
03-05-2025-16-48,318,90,13.69
03-05-2025-16-48,320,90,13.69
03-05-2025-16-48,320,90,13.69
03-05-2025-16-48,315,90,13.69
03-05-2025-16-48,315,90,13.69
03-05-2025-16-48,323,89,13.69
03-05-2025-16-48,323,89,13.69
03-05-2025-16-48,315,90,13.75
03-05-2025-16-48,315,90,13.75
03-05-2025-16-48,323,89,13.69
03-05-2025-16-48,323,89,13.69
03-05-2025-16-48,319,90,13.69
03-05-2025-16-48,319,90,13.69
03-05-2025-16-48,320,90,13.69
03-05-2025-16-48,320,90,13.69
03-05-2025-16-48,319,90,13.69
03-05-2025-16-48,319,90,13.69
03-05-2025-16-48,319,90,13.69
03-05-2025-16-48,319,90,13.69
03-05-2025-16-48,318,90,13.69
03-05-2025-16-48,318,90,13.69
03-05-2025-16-48,314,90,13.69
03-05-2025-16-48,314,90,13.69
03-05-2025-16-48,324,89,13.69
03-05-2025-16-48,324,89,13.69
03-05-2025-16-48,316,90,13.69
03-05-2025-16-48,316,90,13.69
03-05-2025-16-48,322,89,13.69
03-05-2025-16-48,322,89,13.69
03-05-2025-16-48,320,90,13.69
03-05-2025-16-48,320,90,13.69
03-05-2025-16-48,319,90,13.69
03-05-2025-16-48,319,90,13.69
03-05-2025-16-48,319,90,13.69
03-05-2025-16-48,319,90,13.69
03-05-2025-16-48,323,89,13.69
03-05-2025-16-48,323,89,13.69
03-05-2025-16-48,323,89,13.69
03-05-2025-16-49,323,89,13.69
03-05-2025-16-49,316,90,13.69
03-05-2025-16-49,316,90,13.69
03-05-2025-16-49,321,89,13.69
03-05-2025-16-49,321,89,13.69
03-05-2025-16-49,319,90,13.69
03-05-2025-16-49,319,90,13.69
03-05-2025-16-49,319,90,13.69
03-05-2025-16-49,319,90,13.69
03-05-2025-16-49,321,89,13.69
03-05-2025-16-49,321,89,13.69
03-05-2025-16-49,321,89,13.69
03-05-2025-16-49,321,89,13.69
03-05-2025-16-49,320,90,13.69
03-05-2025-16-49,320,90,13.69
03-05-2025-16-49,314,90,13.69
03-05-2025-16-49,314,90,13.69
03-05-2025-16-49,323,89,13.69
03-05-2025-16-49,323,89,13.69
03-05-2025-16-49,318,90,13.69
03-05-2025-16-49,318,90,13.69
03-05-2025-16-49,322,89,13.69
03-05-2025-16-49,322,89,13.69
03-05-2025-16-49,321,89,13.69
03-05-2025-16-49,321,89,13.69
03-05-2025-16-49,321,89,13.69
03-05-2025-16-49,321,89,13.69
03-05-2025-16-49,320,90,13.69
03-05-2025-16-49,320,90,13.69
03-05-2025-16-49,320,90,13.69
03-05-2025-16-49,320,90,13.69
03-05-2025-16-49,323,89,13.69
03-05-2025-16-49,323,89,13.69
03-05-2025-16-49,316,90,13.69
03-05-2025-16-49,316,90,13.69
03-05-2025-16-49,323,89,13.69
03-05-2025-16-49,323,89,13.69
03-05-2025-16-49,320,90,13.69
03-05-2025-16-49,320,90,13.69
03-05-2025-16-49,321,89,13.69
03-05-2025-16-49,321,89,13.69
03-05-2025-16-49,319,90,13.69
03-05-2025-16-49,319,90,13.69
03-05-2025-16-49,320,90,13.69
03-05-2025-16-49,320,90,13.69
03-05-2025-16-49,323,89,13.69
03-05-2025-16-49,323,89,13.69
03-05-2025-16-49,316,90,13.69
03-05-2025-16-49,316,90,13.69
03-05-2025-16-49,321,89,13.69
03-05-2025-16-49,321,89,13.69
03-05-2025-16-49,318,90,13.69
03-05-2025-16-49,318,90,13.69
03-05-2025-16-49,318,90,13.69
03-05-2025-16-49,318,90,13.69
03-05-2025-16-49,319,90,13.69
03-05-2025-16-49,319,90,13.69
03-05-2025-16-49,319,90,13.69
03-05-2025-16-49,319,90,13.69
03-05-2025-16-49,319,90,13.69
03-05-2025-16-50,319,90,13.69
03-05-2025-16-50,319,90,13.69
03-05-2025-16-50,319,90,13.69
03-05-2025-16-50,321,89,13.63
03-05-2025-16-50,321,89,13.63
03-05-2025-16-50,316,90,13.63
03-05-2025-16-50,316,90,13.63
03-05-2025-16-50,322,89,13.63
03-05-2025-16-50,322,89,13.63
03-05-2025-16-50,320,90,13.63
03-05-2025-16-50,320,90,13.63
03-05-2025-16-50,321,89,13.63
03-05-2025-16-50,321,89,13.63
03-05-2025-16-50,319,90,13.63
03-05-2025-16-50,319,90,13.63
03-05-2025-16-50,319,90,13.63
03-05-2025-16-50,319,90,13.63
03-05-2025-16-50,323,89,13.63
03-05-2025-16-50,323,89,13.63
03-05-2025-16-50,316,90,13.63
03-05-2025-16-50,316,90,13.63
03-05-2025-16-50,322,89,13.63
03-05-2025-16-50,322,89,13.63
03-05-2025-16-50,317,90,13.63
03-05-2025-16-50,317,90,13.63
03-05-2025-16-50,320,90,13.63
03-05-2025-16-50,320,90,13.63
03-05-2025-16-50,319,90,13.63
03-05-2025-16-50,319,90,13.63
03-05-2025-16-50,320,90,13.63
03-05-2025-16-50,320,90,13.63
03-05-2025-16-50,325,89,13.63
03-05-2025-16-50,325,89,13.63
03-05-2025-16-50,314,90,13.63
03-05-2025-16-50,314,90,13.63
03-05-2025-16-50,322,89,13.63
03-05-2025-16-50,322,89,13.63
03-05-2025-16-50,320,90,13.63
03-05-2025-16-50,320,90,13.63
03-05-2025-16-50,319,90,13.63
03-05-2025-16-50,319,90,13.63
03-05-2025-16-50,320,90,13.63
03-05-2025-16-50,320,90,13.63
03-05-2025-16-50,320,90,13.56
03-05-2025-16-50,320,90,13.56
03-05-2025-16-50,322,89,13.63
03-05-2025-16-50,322,89,13.63
03-05-2025-16-50,316,90,13.63
03-05-2025-16-50,316,90,13.63
03-05-2025-16-50,321,89,13.56
03-05-2025-16-50,321,89,13.56
03-05-2025-16-50,320,90,13.63
03-05-2025-16-50,320,90,13.63
03-05-2025-16-50,322,89,13.63
03-05-2025-16-50,322,89,13.63
03-05-2025-16-50,321,89,13.63
03-05-2025-16-50,321,89,13.63
03-05-2025-16-50,316,90,13.63
03-05-2025-16-50,316,90,13.63
03-05-2025-16-51,323,89,13.63
03-05-2025-16-51,323,89,13.63
03-05-2025-16-51,315,90,13.63
03-05-2025-16-51,315,90,13.63
03-05-2025-16-51,320,90,13.56
03-05-2025-16-51,320,90,13.56
03-05-2025-16-51,319,90,13.63
03-05-2025-16-51,319,90,13.63
03-05-2025-16-51,320,90,13.63
03-05-2025-16-51,320,90,13.63
03-05-2025-16-51,320,90,13.63
03-05-2025-16-51,320,90,13.63
03-05-2025-16-51,316,90,13.63
03-05-2025-16-51,316,90,13.63
03-05-2025-16-51,323,89,13.56
03-05-2025-16-51,323,89,13.56
03-05-2025-16-51,316,90,13.63
03-05-2025-16-51,316,90,13.63
03-05-2025-16-51,322,89,13.56
03-05-2025-16-51,322,89,13.56
03-05-2025-16-51,319,90,13.63
03-05-2025-16-51,319,90,13.63
03-05-2025-16-51,320,90,13.56
03-05-2025-16-51,320,90,13.56
03-05-2025-16-51,321,89,13.56
03-05-2025-16-51,321,89,13.56
03-05-2025-16-51,315,90,13.56
03-05-2025-16-51,315,90,13.56
03-05-2025-16-51,321,89,13.63
03-05-2025-16-51,321,89,13.63
03-05-2025-16-51,319,90,13.56
03-05-2025-16-51,319,90,13.56
03-05-2025-16-51,319,90,13.56
03-05-2025-16-51,319,90,13.56
03-05-2025-16-51,320,90,13.63
03-05-2025-16-51,320,90,13.63
03-05-2025-16-51,320,90,13.56
03-05-2025-16-51,320,90,13.56
03-05-2025-16-51,325,89,13.56
03-05-2025-16-51,325,89,13.56
03-05-2025-16-51,316,90,13.56
03-05-2025-16-51,316,90,13.56
03-05-2025-16-51,321,89,13.56
03-05-2025-16-51,321,89,13.56
03-05-2025-16-51,321,89,13.56
03-05-2025-16-51,321,89,13.56
03-05-2025-16-51,321,89,13.56
03-05-2025-16-51,323,89,13.56
03-05-2025-16-51,323,89,13.56
03-05-2025-16-51,320,90,13.56
03-05-2025-16-51,320,90,13.56
03-05-2025-16-51,320,90,13.56
03-05-2025-16-51,320,90,13.56
03-05-2025-16-51,319,90,13.56
03-05-2025-16-51,319,90,13.56
03-05-2025-16-51,320,90,13.56
03-05-2025-16-51,320,90,13.56
03-05-2025-16-51,323,89,13.56
03-05-2025-16-51,323,89,13.56
03-05-2025-16-51,314,90,13.56
03-05-2025-16-52,314,90,13.56
03-05-2025-16-52,321,89,13.56
03-05-2025-16-52,321,89,13.56
03-05-2025-16-52,320,90,13.56
03-05-2025-16-52,320,90,13.56
03-05-2025-16-52,320,90,13.56
03-05-2025-16-52,320,90,13.56
03-05-2025-16-52,317,90,13.5
03-05-2025-16-52,317,90,13.5
03-05-2025-16-52,320,90,13.56
03-05-2025-16-52,320,90,13.56
03-05-2025-16-52,322,89,13.56
03-05-2025-16-52,322,89,13.56
03-05-2025-16-52,315,90,13.56
03-05-2025-16-52,315,90,13.56
03-05-2025-16-52,322,89,13.56
03-05-2025-16-52,322,89,13.56
03-05-2025-16-52,320,90,13.5
03-05-2025-16-52,320,90,13.5
03-05-2025-16-52,319,90,13.56
03-05-2025-16-52,319,90,13.56
03-05-2025-16-52,319,90,13.56
03-05-2025-16-52,319,90,13.56
03-05-2025-16-52,319,90,13.5
03-05-2025-16-52,319,90,13.5
03-05-2025-16-52,326,89,13.5
03-05-2025-16-52,326,89,13.5
03-05-2025-16-52,316,90,13.5
03-05-2025-16-52,316,90,13.5
03-05-2025-16-52,321,89,13.5
03-05-2025-16-52,321,89,13.5
03-05-2025-16-52,318,90,13.5
03-05-2025-16-52,318,90,13.5
03-05-2025-16-52,319,90,13.5
03-05-2025-16-52,319,90,13.5
03-05-2025-16-52,319,90,13.5
03-05-2025-16-52,319,90,13.5
03-05-2025-16-52,316,90,13.5
03-05-2025-16-52,316,90,13.5
03-05-2025-16-52,322,89,13.5
03-05-2025-16-52,322,89,13.5
03-05-2025-16-52,318,90,13.5
03-05-2025-16-52,318,90,13.5
03-05-2025-16-52,320,90,13.56
03-05-2025-16-52,320,90,13.56
03-05-2025-16-52,320,90,13.5
03-05-2025-16-52,320,90,13.5
03-05-2025-16-52,320,90,13.5
03-05-2025-16-52,320,90,13.5
03-05-2025-16-52,323,89,13.56
03-05-2025-16-52,323,89,13.56
03-05-2025-16-52,314,90,13.5
03-05-2025-16-52,314,90,13.5
03-05-2025-16-52,321,89,13.5
03-05-2025-16-52,321,89,13.5
03-05-2025-16-52,318,90,13.5
03-05-2025-16-52,318,90,13.5
03-05-2025-16-52,319,90,13.5
03-05-2025-16-52,319,90,13.5
03-05-2025-16-52,319,90,13.5
03-05-2025-16-53,319,90,13.5
03-05-2025-16-53,317,90,13.56
03-05-2025-16-53,317,90,13.56
03-05-2025-16-53,323,89,13.56
03-05-2025-16-53,323,89,13.56
03-05-2025-16-53,317,90,13.56
03-05-2025-16-53,317,90,13.56
03-05-2025-16-53,320,90,13.5
